mergeable,commits,additions,deletions,changed_files,open_issues_count,watchers_count,forks_count,has_discussions,has_wiki,has_projects,stargazers_count,title_size,merged,language
1,1,2,9,1,8,1,1,0,1,1,1,30,1,javascript
1,1,3,1,1,5,89,89,0,0,1,89,28,1,python
1,1,3,3,1,5,0,0,0,1,1,0,35,1,html
1,1,3,3,1,7,0,0,0,1,1,0,37,1,html
1,1,3,3,1,9,0,0,0,1,1,0,40,1,css
1,1,3,3,1,15,0,0,0,1,1,0,57,0,c#
1,1,3,3,1,33,0,0,0,0,1,0,80,1,brainfuck
1,1,3,3,2,0,26,26,0,0,0,26,47,1,go
1,1,3,34,1,0,0,0,0,1,1,0,34,1,typescript
1,1,4,3,3,0,0,0,0,1,1,0,27,1,javascript
1,1,4,3,5,0,0,0,0,1,1,0,17,1,javascript
1,1,4,4,1,10,32,32,0,1,1,32,38,1,ruby
1,1,4,4,2,17,4,4,0,1,1,4,33,0,typescript
1,1,4,18,4,0,4,4,0,1,1,4,36,1,go
1,1,4,61,1,6,112,112,0,1,0,112,16,1,python
1,1,5,0,1,0,0,0,0,0,1,0,30,1,go
1,1,5,3,1,0,0,0,0,1,1,0,20,1,shell
1,1,5,5,1,8,0,0,1,1,1,0,20,1,kotlin
1,1,5,5,2,2,1,1,0,0,1,1,36,1,typescript
1,1,5,5,2,6,33,33,0,1,1,33,56,1,html
1,1,5,5,4,2,0,0,0,1,1,0,27,1,html
1,1,6,2,1,0,0,0,0,1,1,0,11,1,java
1,1,6,6,1,0,2,2,0,1,1,2,37,1,javascript
1,1,6,6,1,12,18,18,1,1,1,18,41,1,html
1,1,7,0,1,2,2,2,0,1,1,2,44,1,roff
1,1,8,0,3,0,0,0,0,1,1,0,4,1,java
1,1,8,8,2,3,0,0,0,1,1,0,45,1,svelte
1,1,8,12,3,0,0,0,0,1,1,0,46,1,c#
1,1,9,12,2,0,0,0,0,1,1,0,36,1,php
1,1,9,30,1,0,0,0,0,1,1,0,36,1,javascript
1,1,10,8,3,0,2,2,0,1,1,2,20,1,jupyter notebook
1,1,10,51,1,0,0,0,0,1,1,0,13,1,javascript
1,1,11,9,2,5,0,0,0,1,1,0,48,1,typescript
1,1,11,10,1,32,0,0,0,0,1,0,93,1,brainfuck
1,1,12,12,1,0,0,0,0,1,1,0,37,1,javascript
